#,Dirección,Departamento,Provincia,Distrito
82,AVENIDA ARRIAGA S/N,La Libertad,Ascope,Chicama
83,CALLE PIURA 98,La Libertad,Trujillo,Salaverry
84,CALLE MARAVILLA,La Libertad,Otuzco,Mache
85,PARQUE INFANTIL,La Libertad,Chepén,Pueblo Nuevo
86,AVENIDA GRAN CHIMU 280,La Libertad,Trujillo,Moche
87,CALLE PRINCIPAL S/N,La Libertad,Pacasmayo,San Pedro de Lloc
88,JIRON BOLOGNESI S/N,La Libertad,Pataz,Huancaspata
89,JIRON CAVERO DE TOLEDO 145,La Libertad,Trujillo,Trujillo
90,SANTIAGO DE CHALLAS,La Libertad,Pataz,Santiago de Challas
91,AVENIDA 28 DE JULIO S/N MZ 20 LOTE 03,La Libertad,Pacasmayo,San Pedro de Lloc
92,SARIN,La Libertad,Sánchez Carrión,Sarin
93,AVENIDA CUBA S/N MZ G' LOTE 17 ETAPA III,La Libertad,Trujillo,Trujillo
94,CALIPUY,La Libertad,Santiago de Chuco,Santiago de Chuco
95,CALLE JOSE GALVEZ S/N,La Libertad,Pataz,Taurija
96,JIRON SAN MARTIN S/N,La Libertad,Santiago de Chuco,Santa Cruz de Chuca
97,CALLE VICTOR RAUL 250,La Libertad,Julcán,Carabamba
98,PANGO,La Libertad,Otuzco,Otuzco
99,CALLE ARTE Y REVOLUCION 680,La Libertad,Santiago de Chuco,Santiago de Chuco
100,PASAJE LOS JARDINES 156,La Libertad,Pacasmayo,San José
